cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/3/2016,11/6/2016,"Monmouth University","A+",748,"lv",3.965234,50,44,4,,48.86765,43.396,4.8386,,"","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/",48623,76176,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Virginia",11/3/2016,11/4/2016,"Public Policy Polling","B+",1238,"lv",3.923524,48,43,1,,47.43805,42.32751,2.207659,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48349,75743,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/1/2016,11/3/2016,"Marist College","A",940,"lv",3.886329,44,43,6,,42.83406,43.43819,4.780429,,"","http://www.mcclatchydc.com/news/politics-government/election/article112635048.html",48362,75818,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Iowa",11/1/2016,11/4/2016,"Selzer & Company","A+",800,"lv",3.842234,39,46,6,,39.37561,45.66917,6.062713,,"","http://www.desmoinesregister.com/story/news/politics/iowa-poll/2016/11/05/iowa-poll-trump-opens-7-point-lead-over-clinton/93347134/?hootPostID=244ad51ae6af519614281eb8c6904b90",48470,75957,11/5/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/5/2016,11/7/2016,"The Times-Picayune/Lucid","",2521,"lv",3.792648,45,40,5,,45.13966,42.26495,3.679914,,"","https://luc.id/2016-presidential-tracker/",48771,76354,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Wisconsin",10/26/2016,10/31/2016,"Marquette University","A",1255,"lv",3.789957,46,40,4,,46.10344,40.97982,2.897062,,"","https://twitter.com/MULawPoll",48095,75264,11/2/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"North Carolina",11/4/2016,11/6/2016,"Siena College","A",800,"lv",3.774139,44,44,3,,44.21875,45.0829,2.33525,,"","http://www.nytimes.com/2016/11/08/upshot/trump-and-clinton-tied-in-final-upshot-poll-of-north-carolina.html",48524,76066,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Georgia",11/6/2016,11/6/2016,"Landmark Communications","B",1200,"lv",3.752961,46,49,3,,45.0647,48.80363,3.662548,,"","http://landmarkcommunications.net/landmarkrosetta-stone-releases-final-sunday-poll-of-georgia-voters-for-president-senate/",48525,76068,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Florida",11/3/2016,11/6/2016,"Quinnipiac University","A-",884,"lv",3.718829,46,45,2,,46.44315,43.93999,2.09831,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401",48522,76060,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"North Carolina",11/3/2016,11/6/2016,"Quinnipiac University","A-",870,"lv",3.677972,47,45,3,,47.43742,43.93745,3.09831,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401",48523,76062,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Virginia",10/27/2016,10/30/2016,"ABC News/Washington Post","A+",1024,"lv",3.632387,48,42,6,,46.39152,41.58078,6.088089,,"","https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html",47880,74934,11/1/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/1/2016,11/7/2016,"USC Dornsife/LA Times","",2972,"lv",3.611297,43.61,46.84,,,45.32156,43.38579,,,"","http://latimes.com/politics/",48917,76612,11/8/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Georgia",11/3/2016,11/6/2016,"Gravis Marketing","B-",2002,"rv",3.572489,44,48,3,,43.83075,47.32734,3.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48852,76448,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Oregon",11/3/2016,11/6/2016,"Gravis Marketing","B-",1963,"rv",3.548932,44,40,6,,43.84735,39.33472,6.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48855,76451,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/1/2016,11/5/2016,"RKM Research and Communications, Inc.","B+",1009,"lv",3.472548,47.6,44.4,4.3,,47.63973,43.1608,4.761112,,"","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win",48509,76029,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Ohio",11/3/2016,11/6/2016,"Gravis Marketing","B-",1781,"rv",3.417108,42,48,4,,41.84073,47.33178,4.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48854,76450,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"South Carolina",11/3/2016,11/6/2016,"Gravis Marketing","B-",1751,"rv",3.393813,43,48,3,,42.83107,47.32748,3.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48857,76453,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Ohio",11/2/2016,11/4/2016,"YouGov","B",1189,"lv",3.384065,45,46,,,44.93624,45.09646,,,"","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vvlr48n70w/OH_Prelim_20161106.pdf",48481,75977,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Virginia",11/1/2016,11/2/2016,"Remington","",3076,"lv",3.373787,46,44,,,45.27399,41.91459,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48494,76000,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"New York",11/3/2016,11/6/2016,"Gravis Marketing","B-",1681,"rv",3.337564,55,36,2,,54.84194,35.33231,2.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48853,76449,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Michigan",11/3/2016,11/4/2016,"Public Policy Polling","B+",957,"lv",3.331139,46,41,6,,45.44545,40.33095,7.207659,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48348,75741,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"North Carolina",10/31/2016,11/1/2016,"Public Policy Polling","B+",1169,"lv",3.322677,49,47,,,47.90348,45.94813,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48326,75699,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Wisconsin",11/1/2016,11/2/2016,"Remington","",2720,"lv",3.256398,49,41,,,48.22713,38.86464,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48495,76001,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Pennsylvania",11/1/2016,11/2/2016,"Remington","",2683,"lv",3.245717,46,45,,,45.30896,42.94988,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48493,75999,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Virginia",11/1/2016,11/6/2016,"Christopher Newport University","B-",1193,"lv",3.233819,48,42,3,,48.93321,43.6221,1.996604,,"","http://www.nbc12.com/story/33645067/poll-clinton-leading-trump-by-6-points-in-va",48512,76034,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"North Carolina",11/1/2016,11/2/2016,"Remington","",2596,"lv",3.219699,45,48,,,44.39882,46.0411,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48491,75997,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Ohio",11/1/2016,11/2/2016,"Remington","",2557,"lv",3.207606,44,45,,,43.03321,42.67245,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48492,75998,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Georgia",11/3/2016,11/5/2016,"YouGov","B",995,"lv",3.185894,43,49,4,,43.80799,48.99024,5.169494,,"","https://today.yougov.com/news/2016/11/07/yougov-final-polls-battleground-states/",48682,76245,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Missouri",10/31/2016,11/1/2016,"Public Policy Polling","B+",1083,"lv",3.173688,37,50,4,,36.55124,49.59908,5.028656,,"","http://images.campaignpartner.net/images/15290/MissouriResults112.pdf",48119,75343,11/2/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"New Hampshire",11/4/2016,11/5/2016,"Emerson College","B",1000,"lv",3.168547,45.4,43.8,4.5,,45.37532,41.71392,4.769466,,"","projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf",48519,76055,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Arizona",11/3/2016,11/6/2016,"Gravis Marketing","B-",1453,"rv",3.133701,43,45,3,,42.84287,44.33273,3.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48851,76447,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",10/31/2016,11/6/2016,"CVOTER International","C+",1625,"lv",3.132291,48.91,46.13,,,47.01806,42.04561,,,"","http://www.upi.com/Top_News/US/2016/11/07/UPICVoter-poll-Hillary-Clinton-holds-slim-lead-over-Donald-Trump-on-eve-of-election/5881478528364/",48615,76159,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Florida",11/1/2016,11/2/2016,"Remington","",2352,"lv",3.123244,45,48,,,44.85722,46.49677,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48489,75995,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Pennsylvania",10/31/2016,11/1/2016,"Public Policy Polling","B+",1050,"lv",3.114036,48,44,,,46.81404,42.86101,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48329,75702,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/4/2016,11/5/2016,"Morning Consult","",1482,"lv",3.083018,45,42,8,,46.2831,43.27167,6.904304,,"","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/",48477,75968,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Pennsylvania",11/3/2016,11/5/2016,"YouGov","B",931,"lv",3.069021,45,43,4,,45.82043,42.99602,5.169494,,"","https://today.yougov.com/news/2016/11/07/yougov-final-polls-battleground-states/",48683,76246,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Nevada",11/3/2016,11/6/2016,"Gravis Marketing","B-",1158,"lv",3.059317,45,43,4,,43.52706,40.25877,5.414673,,"","http://www.gravispolls.com/2016/11/final-gravis-marketing-nevada-poll-2016.html?m=1",48689,76269,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Colorado",11/3/2016,11/6/2016,"Gravis Marketing","B-",1378,"rv",3.058729,44,43,5,,43.84619,42.3342,5.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48850,76446,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Florida",11/2/2016,11/4/2016,"YouGov","B",1188,"rv",3.053852,45,45,,,47.07455,46.99468,,,"","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mwbtap4dgs/FL_Prelim_20161106.pdf",48482,75978,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",10/31/2016,11/6/2016,"SurveyMonkey","C-",70194,"lv",3.020698,47,41,6,,45.65592,40.37888,3.677361,,"","http://www.nbcnews.com/storyline/data-points/poll-eve-election-day-clinton-maintains-her-edge-over-trump-n678816",48515,76043,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Wisconsin",11/1/2016,11/2/2016,"Clarity Campaign Labs","B",1129,"lv",2.987877,47,43,4,,47.83631,42.94844,4.024297,,"","http://projects.fivethirtyeight.com/polls/11072016_sen.pdf",48621,76170,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Ohio",11/4/2016,11/5/2016,"Emerson College","B",900,"lv",2.984264,38.9,45.6,6.8,,38.85865,43.50651,7.069466,,"","projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf",48516,76052,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"New Hampshire",11/3/2016,11/6/2016,"University of New Hampshire","B+",692,"lv",2.974129,49,38,6,,48.71549,39.2107,6.444664,,"","http://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_pressengov110616.pdf",48497,76013,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Pennsylvania",11/1/2016,11/4/2016,"Clarity Campaign Labs","B",1033,"lv",2.97223,47,43,4,,47.77524,42.83232,4.096484,,"","http://projects.fivethirtyeight.com/polls/11072016_sen.pdf",48620,76169,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",10/20/2016,10/25/2016,"Pew Research Center","B+",2120,"rv",2.969116,46,40,6,,45.82386,42.70839,3.531025,,"","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/",47616,74519,10/27/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Florida",10/20/2016,10/24/2016,"SurveyUSA","A",1251,"lv",2.954021,48,45,2,,46.74555,45.86589,1.52073,,"","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs",47465,74252,10/25/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"California",10/25/2016,10/31/2016,"YouGov","B",1498,"lv",2.951676,53,33,4,,53.93975,34.06845,4.511946,,"","http://www.sacbee.com/news/politics-government/capitol-alert/article112168782.html",48125,75391,11/3/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"U.S.",11/2/2016,11/6/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.951606,45,43,4,,45.56041,43.13745,4.418502,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov7",48613,76157,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Colorado",11/1/2016,11/2/2016,"Remington","",1863,"lv",2.934303,42,41,,,40.24119,37.87783,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48488,75994,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"New York",11/3/2016,11/4/2016,"Siena College","A",617,"lv",2.903992,51,34,5,,51.30942,35.12664,4.344325,,"","http://files.constantcontact.com/9c83fb30501/486bf15f-bd24-43fa-988f-79ba63efc430.pdf",48478,75969,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Nevada",11/1/2016,11/2/2016,"Remington","",1793,"lv",2.898775,45,46,,,43.87231,43.51139,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48490,75996,11/6/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Pennsylvania",11/3/2016,11/6/2016,"Gravis Marketing","B-",1220,"rv",2.885523,46,40,7,,45.83721,39.33021,7.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48856,76452,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Arizona",10/30/2016,11/1/2016,"Marist College","A",719,"lv",2.859202,40,45,9,,38.85863,45.72376,7.587354,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48211,75509,11/3/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Missouri",11/1/2016,11/2/2016,"Clarity Campaign Labs","B",1036,"lv",2.852793,38,54,,,37.65693,52.77196,,,"","http://projects.fivethirtyeight.com/polls/11072016_sen.pdf",48622,76171,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Wisconsin",11/3/2016,11/6/2016,"Gravis Marketing","B-",1184,"rv",2.842833,47,44,3,,46.84436,43.33339,3.726098,,"","http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1",48858,76454,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Washington",10/31/2016,11/2/2016,"SurveyUSA","A",681,"lv",2.811729,50,38,4,,48.87802,36.95385,4.691579,,"","http://www.surveyusa.com/client/PollReport.aspx?g=befe5f60-092c-48e8-b36f-b5ae8e28048e",48365,75831,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Virginia",11/1/2016,11/4/2016,"Gravis Marketing","B-",1362,"rv",2.810909,47,42,4,,46.97759,41.41807,4.720103,,"","http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/",48772,76355,11/7/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Wisconsin",10/31/2016,11/1/2016,"Public Policy Polling","B+",891,"lv",2.805241,48,41,,,46.73323,39.78602,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48330,75703,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"California",10/22/2016,10/30/2016,"Greenberg Quinlan Rosner/American Viewpoint","B+",1382,"lv",2.797422,54,30,4,,54.28659,31.63001,3.403508,,"","https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v",48321,75803,11/4/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Georgia",10/30/2016,11/1/2016,"Marist College","A",707,"lv",2.795523,44,45,8,,42.81871,45.65459,6.587354,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48209,75507,11/3/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"California",10/28/2016,10/31/2016,"SurveyUSA","A",747,"lv",2.794053,56,35,4,,54.86451,34.27885,4.457467,,"","http://sanfrancisco.cbslocal.com/2016/11/01/surveyusa-kpix-5-poll-hillary-clinton-donald-trump-prop-64-marijuana/",48011,75087,11/1/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Florida",11/1/2016,11/7/2016,"SurveyMonkey","C-",4092,"lv",2.785524,47,45,4,,45.5919,44.32744,1.69243,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48869,76559,11/8/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Texas",10/30/2016,11/1/2016,"Marist College","A",679,"lv",2.747991,40,49,6,,38.84342,49.69741,4.587354,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48210,75508,11/3/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Missouri",10/31/2016,11/1/2016,"Remington","",1722,"lv",2.741439,39,52,4,,39.02343,50.77483,5.124639,,"","http://projects.fivethirtyeight.com/polls/20161103_MO_1.pdf",48186,75458,11/3/16,"09:35:33  8 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/8/16,"Arizona",10/29/2016,10/31/2016,"Saguaro Strategies","",2229,"lv",2.722561,45,44,7,,43.5845,44.02861,6.357814,,"","https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31",48185,75456,11/3/16,"09:35:33  8 Nov 2016"
